<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX.GLTR:TQBR,D,20211022,000000,614.0000000,627.0000000,612.0500000,623.0000000,207640
MOEX.GLTR:TQBR,D,20211025,000000,622.5500000,627.0000000,610.4000000,625.4500000,153180
MOEX.GLTR:TQBR,D,20211026,000000,627.5500000,627.5500000,612.0500000,617.3000000,160630
MOEX.GLTR:TQBR,D,20211027,000000,617.0000000,625.5000000,607.5000000,613.9500000,126920
MOEX.GLTR:TQBR,D,20211028,000000,615.0000000,616.4500000,596.0000000,603.5500000,249040
MOEX.GLTR:TQBR,D,20211029,000000,604.0000000,637.0000000,602.3500000,622.8000000,277580
MOEX.GLTR:TQBR,D,20211101,000000,620.0000000,637.0000000,616.1500000,636.5500000,236260
MOEX.GLTR:TQBR,D,20211102,000000,636.9500000,639.4500000,622.0000000,628.9500000,100500
MOEX.GLTR:TQBR,D,20211103,000000,626.0000000,631.3500000,619.6000000,628.9500000,86140
MOEX.GLTR:TQBR,D,20211105,000000,624.4000000,625.7500000,607.1000000,608.5000000,123320
MOEX.GLTR:TQBR,D,20211108,000000,607.7000000,625.0500000,607.6500000,622.0000000,93650
MOEX.GLTR:TQBR,D,20211109,000000,624.7500000,624.8000000,606.3000000,610.3000000,123790
MOEX.GLTR:TQBR,D,20211110,000000,607.7000000,615.1000000,600.0000000,604.5500000,123170
MOEX.GLTR:TQBR,D,20211111,000000,610.0000000,610.0000000,592.0000000,602.0500000,135480
MOEX.GLTR:TQBR,D,20211112,000000,600.9500000,606.6000000,582.1000000,599.1000000,196590
MOEX.GLTR:TQBR,D,20211115,000000,600.0000000,604.0000000,590.6000000,594.0000000,103120
