<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TCSG,D,20210729,000000,6314.2000000,6400.0000000,6250.0000000,6357.0000000,345183
TCSG,D,20210730,000000,6352.8000000,6368.0000000,5970.0000000,6113.8000000,367426
TCSG,D,20210802,000000,6136.0000000,6255.0000000,6025.0000000,6169.8000000,228063
TCSG,D,20210803,000000,6150.0000000,6449.2000000,6127.0000000,6416.6000000,273239
TCSG,D,20210804,000000,6412.4000000,6577.0000000,6382.0000000,6544.2000000,255805
TCSG,D,20210805,000000,6560.0000000,6761.8000000,6524.6000000,6747.2000000,337987
TCSG,D,20210806,000000,6760.0000000,6875.0000000,6674.0000000,6749.0000000,306038
TCSG,D,20210809,000000,6749.8000000,6983.2000000,6702.0000000,6925.0000000,305300
TCSG,D,20210810,000000,6940.2000000,7104.6000000,6923.4000000,7062.2000000,306812
TCSG,D,20210811,000000,7043.2000000,7095.8000000,6951.4000000,7027.0000000,212163
TCSG,D,20210812,000000,7055.2000000,7084.0000000,6961.4000000,7025.2000000,186224
TCSG,D,20210813,000000,7024.0000000,7059.8000000,6988.8000000,7047.0000000,85185
TCSG,D,20210816,000000,7050.0000000,7249.0000000,7029.0000000,7213.6000000,265977
TCSG,D,20210817,000000,7223.0000000,7436.0000000,7188.0000000,7433.8000000,339390
TCSG,D,20210818,000000,7457.6000000,7499.0000000,7120.0000000,7213.0000000,382646
TCSG,D,20210819,000000,7188.4000000,7329.6000000,6843.4000000,6983.4000000,436444
TCSG,D,20210820,000000,7006.8000000,7080.0000000,6771.8000000,6844.4000000,288208
TCSG,D,20210823,000000,6898.0000000,7056.0000000,6874.4000000,7003.2000000,206747
TCSG,D,20210824,000000,7029.0000000,7083.4000000,6906.2000000,7029.0000000,216052
TCSG,D,20210825,000000,7037.8000000,7130.0000000,6964.2000000,7005.4000000,156076
TCSG,D,20210826,000000,7030.0000000,7065.0000000,6666.0000000,6807.0000000,385871
TCSG,D,20210827,000000,6830.4000000,6830.4000000,6475.6000000,6633.0000000,532502
TCSG,D,20210830,000000,6668.0000000,6725.0000000,6564.6000000,6600.8000000,238815
TCSG,D,20210831,000000,6617.0000000,6631.4000000,6416.0000000,6452.2000000,481349
TCSG,D,20210901,000000,6484.0000000,6926.8000000,6453.2000000,6889.4000000,537290
TCSG,D,20210902,000000,6896.0000000,7021.2000000,6716.0000000,6986.0000000,503103
TCSG,D,20210903,000000,6980.4000000,7072.2000000,6890.6000000,6999.4000000,500735
TCSG,D,20210906,000000,7040.0000000,7083.4000000,6863.6000000,6961.2000000,276916
TCSG,D,20210907,000000,7000.0000000,7037.0000000,6863.2000000,6897.0000000,235649
TCSG,D,20210908,000000,6911.8000000,6917.8000000,6660.4000000,6702.8000000,336045
TCSG,D,20210909,000000,6670.0000000,6854.0000000,6578.4000000,6752.2000000,320657
TCSG,D,20210910,000000,6770.0000000,6880.6000000,6739.4000000,6803.2000000,199247
TCSG,D,20210913,000000,6830.0000000,6856.0000000,6642.4000000,6794.0000000,268167
TCSG,D,20210914,000000,6810.2000000,6830.0000000,6530.0000000,6637.2000000,271036
TCSG,D,20210915,000000,6667.0000000,6679.8000000,6412.0000000,6486.8000000,379940
TCSG,D,20210916,000000,6497.0000000,6634.0000000,6369.0000000,6553.0000000,484379
TCSG,D,20210917,000000,6550.2000000,6800.0000000,6550.0000000,6740.0000000,381191
TCSG,D,20210920,000000,6767.0000000,6827.2000000,6560.2000000,6725.0000000,281240
TCSG,D,20210921,000000,6750.0000000,6750.0000000,6590.2000000,6687.0000000,225673
TCSG,D,20210922,000000,6690.0000000,6778.4000000,6631.0000000,6681.0000000,206851
TCSG,D,20210923,000000,6733.4000000,6737.8000000,6643.4000000,6693.0000000,91413
TCSG,D,20210924,000000,6715.2000000,6721.4000000,6505.8000000,6565.0000000,176667
TCSG,D,20210927,000000,6590.0000000,6614.2000000,6402.8000000,6449.4000000,242380
TCSG,D,20210928,000000,6467.8000000,6471.0000000,6170.0000000,6197.2000000,363324
TCSG,D,20210929,000000,6203.6000000,6423.8000000,6176.2000000,6402.0000000,256859
TCSG,D,20210930,000000,6404.0000000,6689.0000000,6332.0000000,6628.4000000,435197
TCSG,D,20211001,000000,6628.0000000,6822.0000000,6572.2000000,6778.6000000,390863
TCSG,D,20211004,000000,6788.0000000,6943.0000000,6650.0000000,6667.2000000,425142
TCSG,D,20211005,000000,6690.0000000,6884.8000000,6660.0000000,6835.0000000,295785
TCSG,D,20211006,000000,6874.8000000,7011.2000000,6783.8000000,6986.2000000,509384
TCSG,D,20211007,000000,6996.0000000,7236.0000000,6996.0000000,7140.0000000,410124
TCSG,D,20211008,000000,7158.0000000,7244.4000000,7063.2000000,7155.0000000,272112
TCSG,D,20211011,000000,7170.0000000,7225.0000000,7051.0000000,7206.0000000,226782
TCSG,D,20211012,000000,7197.8000000,7361.0000000,7132.8000000,7331.4000000,331882
TCSG,D,20211013,000000,7360.0000000,7677.6000000,7290.0000000,7610.4000000,720095
TCSG,D,20211014,000000,7630.0000000,7924.6000000,7542.2000000,7767.6000000,550098
TCSG,D,20211015,000000,7800.0000000,7893.8000000,7678.6000000,7820.2000000,248259
TCSG,D,20211018,000000,7849.8000000,7945.2000000,7700.2000000,7724.0000000,293790
TCSG,D,20211019,000000,7728.0000000,7836.6000000,7485.2000000,7805.0000000,281252
TCSG,D,20211020,000000,7825.0000000,7944.0000000,7770.0000000,7824.4000000,322980
TCSG,D,20211021,000000,7850.8000000,7924.2000000,7815.2000000,7853.0000000,194655
TCSG,D,20211022,000000,7860.6000000,7909.8000000,7642.4000000,7660.0000000,180080
TCSG,D,20211025,000000,7667.0000000,7754.0000000,7500.0000000,7600.0000000,201897
TCSG,D,20211026,000000,7625.0000000,7625.2000000,7300.0000000,7310.2000000,272745
TCSG,D,20211027,000000,7340.0000000,7449.2000000,7067.0000000,7268.0000000,400718
TCSG,D,20211028,000000,7297.8000000,7420.0000000,7208.0000000,7396.8000000,301498
TCSG,D,20211029,000000,7424.0000000,7448.6000000,7185.4000000,7310.0000000,216118
TCSG,D,20211101,000000,7324.8000000,7816.0000000,7304.2000000,7790.8000000,413361
TCSG,D,20211102,000000,7792.0000000,7970.0000000,7700.0000000,7867.0000000,318495
